Year,Major,HR,Age,Height,Gender,Under_Psychology,Under_ResearchMethods,Under_Math,Under_DataAnalysis,Meaning,Open,Con,Ext,Agr,Neu
2,2,66,19,58,2,3,3,2,3,3.6,4,3.666666667,2.666666667,4.333333333,5
2,1,70,19,64,2,3,4,2,1,4,2.666666667,5,3.333333333,4,4
3,2,65,20,62,2,4,4,3,3,5.8,4.333333333,4,2,5,3
3,2,60,20,66,2,4,4,4,3,4,4.333333333,3.666666667,4,5,4.333333333
3,2,66,21,71,1,3,3,3,2,5.2,3.666666667,3.333333333,3,4.333333333,2
2,1,68,19,65,2,3,4,2,2,5.2,3.333333333,3.666666667,2.333333333,4.333333333,3.666666667
3,1,80,19,64,2,3,2,4,1,2.6,4.333333333,3.666666667,4,4.666666667,3.666666667
2,1,70,20,68,2,3,4,2,1,6,4.666666667,3.333333333,4,5,4
2,2,64,20,61,2,4,3,3,2,5.8,4,3,3,3.333333333,3.666666667
3,1,71,21,65,2,4,3,2,1,2.2,3.666666667,3.666666667,2,2,4.666666667
2,1,70,21,66,2,3,3,3,3,4,3.666666667,3,4.333333333,4,2
3,1,71,20,67,2,4,3,3,3,3.8,5,2.333333333,2.333333333,4.666666667,3.333333333
2,1,80,19,61,2,4,4,3,2,4.2,2.666666667,4,2,4,3.666666667
2,1,75,19,53,2,3,3,2,2,5,3.666666667,3.666666667,4,4,2.666666667
2,1,80,19,65,2,4,4,3,2,2.8,4.666666667,4,3.666666667,4,3.666666667
2,1,74,19,63,2,3,4,3,2,5.4,4.333333333,4,4.666666667,3.333333333,4.666666667
2,2,72,20,71,2,3,3,3,2,5.4,4.333333333,3.333333333,3.333333333,4.666666667,3.333333333
3,1,63,20,70,2,3,2,2,2,5.2,4.333333333,3.666666667,4,4.333333333,3.666666667
3,2,68,20,78,1,3,3,2,3,4.6,3.666666667,4.333333333,3,3.333333333,3
4,1,73,22,69,2,3,3,3,3,5.2,4.666666667,3.333333333,3.333333333,3,2.666666667
3,1,84,21,64,2,2,2,2,1,5.8,4.333333333,3.666666667,2.666666667,4.666666667,4.666666667
2,1,85,19,64,2,2,3,2,2,2.8,3.333333333,3.333333333,2,5,3.666666667
3,1,80,20,67,2,3,3,3,3,6.8,5,4,2.666666667,5,2.333333333
2,1,62,18,67,2,3,4,2,1,4.2,5,5,3.333333333,3.666666667,3.333333333
3,1,87,20,61,2,3,3,2,2,4.2,2.333333333,4.333333333,3,3.666666667,4
3,1,77,20,66,2,3,4,3,2,5,4,4,4,3.666666667,4
2,1,66,19,63,2,3,3,4,2,2,3.333333333,4.666666667,3,4,4
2,1,63,19,64,2,3,3,2,2,3,4,2.666666667,2,5,3.666666667
2,1,68,19,67,2,3,4,4,4,4.4,5,4.666666667,4.666666667,4,3.333333333
3,2,76,21,72,2,3,3,3,3,3.6,2.666666667,3.333333333,3.666666667,4.333333333,4.333333333
2,1,84,20,68,1,4,4,4,3,4.4,4.333333333,4,2.333333333,4,2.666666667
2,1,75,19,68,2,4,4,3,2,2.6,4.666666667,3,1,4,2.666666667
3,1,80,21,70,2,4,3,4,1,6.6,4.333333333,4,2.666666667,4.666666667,2.666666667
2,1,90,20,69,2,3,3,3,3,7,4,4,3.666666667,3.666666667,3.333333333
3,1,64,20,67,2,3,3,3,3,3.8,3.666666667,3.333333333,2,3,4.666666667
2,1,70,19,66,2,3,4,2,2,4,4,3,2.666666667,3.333333333,4
2,1,63,19,72,2,3,3,3,2,4.2,4.666666667,3.666666667,4.333333333,4,5
2,2,81,19,67,2,3,3,2,2,4,4.333333333,3.333333333,2,3,4.666666667
3,2,82,21,65,2,4,4,4,2,6.4,3,3,4,3.333333333,2.333333333
